edition_id,work_id,title,isbn_13,isbn_10,publisher,publish_date,number_of_pages,language
OL3120145M,OL31201W,Hondo,9780553280913,0553280910,Bantam,1983-08-01,192,eng
OL3133478M,OL31334W,The Daybreakers,9780553276749,0553276743,Bantam,1985-03-01,200,eng
OL3140256M,OL31402W,Sackett,9780553276817,0553276816,Bantam,1985-03-01,208,eng
OL3158823M,OL31588W,The Lonesome Gods,9780553266528,0553266527,Bantam,1984-12-01,560,eng
OL3170111M,OL31701W,Last of the Breed,9780553270198,0553270192,Bantam,1987-11-01,400,eng
OL4412012M,OL44120W,Lonesome Dove,9780671683900,0671683902,Pocket Books,1986-06-01,945,eng
OL4418845M,OL44188W,Streets of Laredo,9780671748043,0671748041,Pocket Books,1994-08-01,560,eng
OL4424556M,OL44245W,The Last Picture Show,9780684853864,068485386X,Scribner,1999-08-04,220,eng
OL2780178M,OL27801W,Riders of the Purple Sage,9780812973891,0812973895,Modern Library,2002-09-10,288,eng
OL2785501M,OL27855W,The Lone Star Ranger,9780812968484,0812968484,Modern Library,2003-11-11,320,eng
OL6120389M,OL61203W,All the Pretty Horses,9780679744399,0679744398,Vintage International,1993-06-29,302,eng
OL6128867M,OL61288W,No Country for Old Men,9780375706677,0375706674,Vintage International,2006-07-25,320,eng
OL9011245M,OL90112W,The Hungry Ocean,9780786884414,0786884419,Hachette,2000-06-07,256,eng
OL9018834M,OL90188W,The Lobster Chronicles,9780786886791,0786886793,Hyperion,2003-04-02,240,eng
OL9024501M,OL90245W,Seaworthy,9780143119470,0143119478,Penguin,2011-04-26,272,eng
OL7101267M,OL71012W,The Perfect Storm,9780393337013,0393337014,W. W. Norton,2009-09-08,256,eng
OL7108901M,OL71089W,Fire,9780393325577,0393325571,W. W. Norton,2002-04-17,224,eng
