subject,name,subject_type
western,Western,subject
frontier,Frontier,subject
cavalry,Cavalry,subject
apache,Apache,subject
sackett_saga,Sackett Saga,subject
mountains,Mountains,subject
gold,Gold,subject
california,California,subject
desert,Desert,subject
coming_of_age,Coming of Age,subject
survival,Survival,subject
cold_war,Cold War,subject
siberia,Siberia,subject
cattle_drive,Cattle Drive,subject
texas,Texas,subject
montana,Montana,subject
rangers,Rangers,subject
small_town,Small Town,subject
mormon_country,Mormon Country,subject
utah,Utah,subject
outlaw,Outlaw,subject
texas_rangers,Texas Rangers,subject
redemption,Redemption,subject
border_trilogy,Border Trilogy,subject
mexico,Mexico,subject
border,Border,subject
crime,Crime,subject
swordfishing,Swordfishing,subject
grand_banks,Grand Banks,subject
commercial_fishing,Commercial Fishing,subject
captains,Captains,subject
lobstering,Lobstering,subject
maine,Maine,subject
island_life,Island Life,subject
working_harbor,Working Harbor,subject
atlantic,Atlantic,subject
storm,Storm,subject
working_men,Working Men,subject
wildfire,Wildfire,subject
reporting,Reporting,subject
return_to_sea,Return to Sea,subject
new_mexico,New Mexico,subject
