playlist_id,track_id,position,added_at
pl_truck_radio_001,trk_fortunate_son_002,0,2025-02-14T19:10:00Z
pl_truck_radio_001,trk_born_to_run_006,1,2025-02-14T19:11:00Z
pl_truck_radio_001,trk_free_fallin_012,2,2025-02-14T19:12:00Z
pl_truck_radio_001,trk_sweet_home_alabama_016,3,2025-02-14T19:13:00Z
pl_truck_radio_001,trk_night_moves_014,4,2025-02-14T19:14:00Z
pl_truck_radio_001,trk_refugee_010,5,2025-02-14T19:15:00Z
pl_friday_whiskey_002,trk_have_you_ever_001,0,2025-03-07T20:45:00Z
pl_friday_whiskey_002,trk_the_river_008,1,2025-03-07T20:46:00Z
pl_friday_whiskey_002,trk_main_street_015,2,2025-03-07T20:47:00Z
pl_friday_whiskey_002,trk_blue_eyes_crying_020,3,2025-03-07T20:48:00Z
pl_friday_whiskey_002,trk_simple_man_017,4,2025-03-07T20:49:00Z
pl_sox_background_003,trk_who_ll_stop_004,0,2025-04-12T18:20:00Z
pl_sox_background_003,trk_lookin_out_back_005,1,2025-04-12T18:21:00Z
pl_sox_background_003,trk_here_comes_my_girl_011,2,2025-04-12T18:22:00Z
pl_sox_background_003,trk_thunder_road_007,3,2025-04-12T18:23:00Z
pl_shed_work_004,trk_proud_mary_003,0,2025-01-25T13:30:00Z
pl_shed_work_004,trk_hungry_heart_009,1,2025-01-25T13:31:00Z
pl_shed_work_004,trk_i_won_t_back_down_013,2,2025-01-25T13:32:00Z
pl_shed_work_004,trk_folsom_prison_blues_018,3,2025-01-25T13:33:00Z
pl_shed_work_004,trk_ring_of_fire_019,4,2025-01-25T13:34:00Z
