tableId,id,name,type
tblProjects00001,fldProjName00001,Name,singleLineText
tblProjects00001,fldProjStatus001,Status,singleSelect
tblProjects00001,fldProjOwner0001,Owner,singleLineText
tblProjects00001,fldProjBudget001,Budget,number
tblTasks00000001,fldTaskName00001,Name,singleLineText
tblTasks00000001,fldTaskStatus001,Status,singleSelect
tblTasks00000001,fldTaskProject01,Project,singleLineText
tblTasks00000001,fldTaskHours0001,EstimateHours,number
tblTasks00000001,fldTaskDone00001,Done,checkbox
tblContacts00001,fldContactNm0001,Name,singleLineText
tblContacts00001,fldContactEml001,Email,email
tblContacts00001,fldContactCo0001,Company,singleLineText
tblContacts00001,fldContactRl0001,Role,singleLineText
tblProjects00001,fldGEN0000000000001,Name,singleLineText
tblProjects00001,fldGEN0000000000002,Status,singleSelect
tblProjects00001,fldGEN0000000000003,Owner,singleLineText
tblProjects00001,fldGEN0000000000004,Budget,number
tblTasks00000001,fldGEN0000000000005,Name,singleLineText
tblTasks00000001,fldGEN0000000000006,Status,singleSelect
tblTasks00000001,fldGEN0000000000007,Project,singleLineText
tblTasks00000001,fldGEN0000000000008,EstimateHours,number
tblTasks00000001,fldGEN0000000000009,Done,checkbox
tblContacts00001,fldGEN0000000000010,Name,singleLineText
tblContacts00001,fldGEN0000000000011,Email,email
tblContacts00001,fldGEN0000000000012,Company,singleLineText
tblContacts00001,fldGEN0000000000013,Role,singleLineText
tblProjects00001,fldGEN0000000000014,Name,singleLineText
tblProjects00001,fldGEN0000000000015,Status,singleSelect
tblProjects00001,fldGEN0000000000016,Owner,singleLineText
tblProjects00001,fldGEN0000000000017,Budget,number
tblTasks00000001,fldGEN0000000000018,Name,singleLineText
tblTasks00000001,fldGEN0000000000019,Status,singleSelect
tblTasks00000001,fldGEN0000000000020,Project,singleLineText
tblTasks00000001,fldGEN0000000000021,EstimateHours,number
tblTasks00000001,fldGEN0000000000022,Done,checkbox
tblContacts00001,fldGEN0000000000023,Name,singleLineText
tblContacts00001,fldGEN0000000000024,Email,email
tblContacts00001,fldGEN0000000000025,Company,singleLineText
tblContacts00001,fldGEN0000000000026,Role,singleLineText
tblProjects00001,fldGEN0000000000027,Name,singleLineText
tblProjects00001,fldGEN0000000000028,Status,singleSelect
tblProjects00001,fldGEN0000000000029,Owner,singleLineText
tblProjects00001,fldGEN0000000000030,Budget,number
tblTasks00000001,fldGEN0000000000031,Name,singleLineText
tblTasks00000001,fldGEN0000000000032,Status,singleSelect
tblTasks00000001,fldGEN0000000000033,Project,singleLineText
tblTasks00000001,fldGEN0000000000034,EstimateHours,number
tblTasks00000001,fldGEN0000000000035,Done,checkbox
tblContacts00001,fldGEN0000000000036,Name,singleLineText
tblContacts00001,fldGEN0000000000037,Email,email
tblContacts00001,fldGEN0000000000038,Company,singleLineText
tblContacts00001,fldGEN0000000000039,Role,singleLineText
tblProjects00001,fldGEN0000000000040,Name,singleLineText
tblProjects00001,fldGEN0000000000041,Status,singleSelect
tblProjects00001,fldGEN0000000000042,Owner,singleLineText
tblProjects00001,fldGEN0000000000043,Budget,number
tblTasks00000001,fldGEN0000000000044,Name,singleLineText
tblTasks00000001,fldGEN0000000000045,Status,singleSelect
