id,createdTime,Name,Status,Project,EstimateHours,Done
recTask0000000001,2026-10-07T16:22:00Z,Collect SMP-2026-1001 at Site 1,Done,Site 1 Water Quality Monitoring,2,true
recTask0000000002,2026-10-21T16:05:00Z,Collect SMP-2026-1002 at Site 1,Done,Site 1 Water Quality Monitoring,2,true
recTask0000000003,2026-10-07T16:48:00Z,Collect SMP-2026-1003 at Site 2,Done,Site 2 Water Quality Monitoring,2,true
recTask0000000004,2026-10-21T16:32:00Z,Collect SMP-2026-1004 at Site 2,Done,Site 2 Water Quality Monitoring,2,true
recTask0000000005,2026-10-07T17:14:00Z,Collect SMP-2026-1005 at Site 3,Done,Site 3 Water Quality Monitoring,2,true
recTask0000000006,2026-10-21T17:01:00Z,Collect SMP-2026-1006 at Site 3,Done,Site 3 Water Quality Monitoring,2,true
recTask0000000007,2026-10-08T16:10:00Z,Collect SMP-2026-1007 at Site 4,Done,Site 4 Water Quality Monitoring,2,true
recTask0000000008,2026-10-22T16:28:00Z,Collect SMP-2026-1008 at Site 4,Done,Site 4 Water Quality Monitoring,2,true
recTask0000000009,2026-10-08T16:55:00Z,Collect SMP-2026-1009 at Site 5,Done,Site 5 Water Quality Monitoring,2,true
recTask0000000010,2026-10-22T16:48:00Z,Collect SMP-2026-1010 at Site 5,In progress,Site 5 Water Quality Monitoring,3,false
recTask0000000011,2026-10-08T17:20:00Z,Collect SMP-2026-1011 at Site 6,Done,Site 6 Water Quality Monitoring,2,true
recTask0000000012,2026-10-22T17:11:00Z,Collect SMP-2026-1012 at Site 6,Done,Site 6 Water Quality Monitoring,2,true
recTask0000000013,2026-10-15T16:00:00.000Z,Re-pull Site 3 pH after lab analytical,To do,Site 3 Water Quality Monitoring,3,
recTask0000000014,2026-10-15T16:05:00.000Z,Reconcile Y1 indirect line with portal FAQ cap,To do,Grant budget,2,
recTask0000000015,2026-10-16T09:00:00.000Z,Confirm Brennan budget-review sign-off,In progress,Grant budget,1,
recTask0000000001-988917,2026-10-07T16:22:00Z,Collect SMP-2026-1101 at Site 12,Done,Site 1 Water Quality Monitoring,2,true
recTask0000000002-810334,2026-10-21T16:05:00Z,Collect SMP-2026-1102 at Site 10,Done,Site 1 Water Quality Monitoring,2,true
recTask0000000003-590860,2026-10-07T16:48:00Z,Collect SMP-2026-1103 at Site 11,Done,Site 2 Water Quality Monitoring,2,true
recTask0000000004-713513,2026-10-21T16:32:00Z,Collect SMP-2026-1104 at Site 8,Done,Site 2 Water Quality Monitoring,2,true
recTask0000000005-489934,2026-10-07T17:14:00Z,Collect SMP-2026-1105 at Site 5,Done,Site 3 Water Quality Monitoring,2,true
recTask0000000006-105377,2026-10-21T17:01:00Z,Collect SMP-2026-1106 at Site 3,Done,Site 3 Water Quality Monitoring,2,true
recTask0000000007-913112,2026-10-08T16:10:00Z,Collect SMP-2026-1107 at Site 6,Done,Site 4 Water Quality Monitoring,2,true
recTask0000000008-584612,2026-10-22T16:28:00Z,Collect SMP-2026-1108 at Site 12,Done,Site 4 Water Quality Monitoring,2,true
recTask0000000009-147627,2026-10-08T16:55:00Z,Collect SMP-2026-1109 at Site 3,Done,Site 5 Water Quality Monitoring,2,true
recTask0000000010-405932,2026-10-22T16:48:00Z,Collect SMP-2026-1110 at Site 4,In progress,Site 5 Water Quality Monitoring,3,false
recTask0000000011-997772,2026-10-08T17:20:00Z,Collect SMP-2026-1111 at Site 6,Done,Site 6 Water Quality Monitoring,2,true
recTask0000000012-584768,2026-10-22T17:11:00Z,Collect SMP-2026-1112 at Site 1,Done,Site 6 Water Quality Monitoring,2,true
recTask0000000013-125210,2026-10-15T16:00:00.000Z,Collect SMP-2026-1113 at Site 1,To do,Site 3 Water Quality Monitoring,3,
recTask0000000014-755525,2026-10-15T16:05:00.000Z,Collect SMP-2026-1114 at Site 3,To do,Grant budget,2,
recTask0000000015-227860,2026-10-16T09:00:00.000Z,Collect SMP-2026-1115 at Site 11,In progress,Grant budget,1,
recTask0000000016,2026-10-07T16:22:00Z,Collect SMP-2026-1116 at Site 2,Done,Site 1 Water Quality Monitoring,2,true
recTask0000000017,2026-10-21T16:05:00Z,Collect SMP-2026-1117 at Site 4,Done,Site 1 Water Quality Monitoring,2,true
recTask0000000018,2026-10-07T16:48:00Z,Collect SMP-2026-1118 at Site 10,Done,Site 2 Water Quality Monitoring,2,true
recTask0000000019,2026-10-21T16:32:00Z,Collect SMP-2026-1119 at Site 1,Done,Site 2 Water Quality Monitoring,2,true
recTask0000000020,2026-10-07T17:14:00Z,Collect SMP-2026-1120 at Site 9,Done,Site 3 Water Quality Monitoring,2,true
recTask0000000021,2026-10-21T17:01:00Z,Collect SMP-2026-1121 at Site 8,Done,Site 3 Water Quality Monitoring,2,true
recTask0000000022,2026-10-08T16:10:00Z,Collect SMP-2026-1122 at Site 11,Done,Site 4 Water Quality Monitoring,2,true
recTask0000000023,2026-10-22T16:28:00Z,Collect SMP-2026-1123 at Site 4,Done,Site 4 Water Quality Monitoring,2,true
recTask0000000024,2026-10-08T16:55:00Z,Collect SMP-2026-1124 at Site 7,Done,Site 5 Water Quality Monitoring,2,true
recTask0000000025,2026-10-22T16:48:00Z,Collect SMP-2026-1125 at Site 4,In progress,Site 5 Water Quality Monitoring,3,false
