gid,name,workspace_gid,owner_gid,color,archived,notes,created_at
p1,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1001,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1002,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1003,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1004,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1005,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1006,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1007,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1008,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1009,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1010,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1011,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1012,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1013,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1014,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1015,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1016,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1017,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1018,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1019,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1020,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1021,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1022,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1023,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1024,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
