gid,name,project_gid,section_gid,assignee_gid,completed,due_on,notes,created_at,modified_at
t1,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1001,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1002,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1003,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1004,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1005,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1006,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1007,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1008,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1009,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1010,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1011,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1012,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1013,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1014,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1015,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1016,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1017,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1018,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1019,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1020,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1021,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1022,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1023,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1024,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1025,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1026,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1027,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1028,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1029,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1030,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1031,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1032,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1033,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1034,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1035,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1036,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1037,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1038,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1039,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1040,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1041,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1042,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1043,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1044,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1045,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1046,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1047,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1048,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1049,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1050,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1051,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1052,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1053,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1054,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1055,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1056,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1057,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1058,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1059,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1060,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1061,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1062,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1063,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1064,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1065,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1066,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1067,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1068,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1069,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1070,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1071,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1072,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1073,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1074,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1075,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1076,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1077,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1078,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1079,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1080,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1081,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1082,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1083,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1084,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1085,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1086,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1087,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1088,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1089,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1090,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1091,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1092,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1093,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1094,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1095,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1096,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1097,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1098,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1099,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1100,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1101,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1102,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1103,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1104,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1105,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1106,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1107,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1108,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1109,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1110,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1111,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
t1112,Brennan - Budget Review Sign-Off (Y1 cap + indirect),p1,,u_brennan,false,2026-11-05,Budget review sign-off for Y1 cap and indirect rate,2026-01-06T10:00:00.000Z,2026-10-01T10:00:00.000Z
