listing_id,shop_id,title,description,price,currency_code,quantity,taxonomy_id,tags,materials,who_made,when_made,state,shop_section_id,processing_min,processing_max,item_weight,item_weight_unit,item_length,item_width,item_height,item_dimensions_unit,views,num_favorers,shipping_profile_id,return_policy_id,is_supply,is_customizable,is_personalizable,created_timestamp,updated_timestamp,ending_timestamp
1021,29457183,Hand-tooled leather journal cover (custom),Hand-tooled leather journal cover made to order,85.00,USD,1,1,"leather,journal,handmade,custom","leather,thread",i_did,made_to_order,active,,1,2,8,oz,9,6,1,in,0,0,,,false,true,true,2026-01-15T09:30:00,2026-10-01T09:30:00,2027-01-15T09:30:00
1030001,29457183,Hand-tooled belt - Salazar Leathercraft #1,Hand-tooled leather journal cover made to order,85.00,USD,1,1,"leather,journal,handmade,custom","leather,thread",i_did,made_to_order,active,,1,2,8,oz,9,6,1,in,0,0,,,false,true,true,2026-01-15T09:30:00,2026-10-01T09:30:00,2027-01-15T09:30:00
1030002,29457183,Hand-tooled valet tray - Salazar Leathercraft #2,Hand-tooled leather journal cover made to order,85.00,USD,1,1,"leather,journal,handmade,custom","leather,thread",i_did,made_to_order,active,,1,2,8,oz,9,6,1,in,0,0,,,false,true,true,2026-01-15T09:30:00,2026-10-01T09:30:00,2027-01-15T09:30:00
1030003,29457183,Hand-tooled belt - Salazar Leathercraft #3,Hand-tooled leather journal cover made to order,85.00,USD,1,1,"leather,journal,handmade,custom","leather,thread",i_did,made_to_order,active,,1,2,8,oz,9,6,1,in,0,0,,,false,true,true,2026-01-15T09:30:00,2026-10-01T09:30:00,2027-01-15T09:30:00
1030004,29457183,Hand-tooled field notebook cover - Salazar Leathercraft #4,Hand-tooled leather journal cover made to order,85.00,USD,1,1,"leather,journal,handmade,custom","leather,thread",i_did,made_to_order,active,,1,2,8,oz,9,6,1,in,0,0,,,false,true,true,2026-01-15T09:30:00,2026-10-01T09:30:00,2027-01-15T09:30:00
1030005,29457183,Hand-tooled camera strap - Salazar Leathercraft #5,Hand-tooled leather journal cover made to order,85.00,USD,1,1,"leather,journal,handmade,custom","leather,thread",i_did,made_to_order,active,,1,2,8,oz,9,6,1,in,0,0,,,false,true,true,2026-01-15T09:30:00,2026-10-01T09:30:00,2027-01-15T09:30:00
1030006,29457183,Hand-tooled card wallet - Salazar Leathercraft #6,Hand-tooled leather journal cover made to order,85.00,USD,1,1,"leather,journal,handmade,custom","leather,thread",i_did,made_to_order,active,,1,2,8,oz,9,6,1,in,0,0,,,false,true,true,2026-01-15T09:30:00,2026-10-01T09:30:00,2027-01-15T09:30:00
1030007,29457183,Hand-tooled card wallet - Salazar Leathercraft #7,Hand-tooled leather journal cover made to order,85.00,USD,1,1,"leather,journal,handmade,custom","leather,thread",i_did,made_to_order,active,,1,2,8,oz,9,6,1,in,0,0,,,false,true,true,2026-01-15T09:30:00,2026-10-01T09:30:00,2027-01-15T09:30:00
1030008,29457183,Hand-tooled watch strap - Salazar Leathercraft #8,Hand-tooled leather journal cover made to order,85.00,USD,1,1,"leather,journal,handmade,custom","leather,thread",i_did,made_to_order,active,,1,2,8,oz,9,6,1,in,0,0,,,false,true,true,2026-01-15T09:30:00,2026-10-01T09:30:00,2027-01-15T09:30:00
1030009,29457183,Hand-tooled watch strap - Salazar Leathercraft #9,Hand-tooled leather journal cover made to order,85.00,USD,1,1,"leather,journal,handmade,custom","leather,thread",i_did,made_to_order,active,,1,2,8,oz,9,6,1,in,0,0,,,false,true,true,2026-01-15T09:30:00,2026-10-01T09:30:00,2027-01-15T09:30:00
