id,name,type,messages_total,messages_unread,threads_total,threads_unread
Label_INBOX,INBOX,system,29,9,29,9
Label_SENT,SENT,system,0,0,0,0
Label_DRAFT,DRAFT,system,1,0,1,0
Label_Clearwater,Clearwater,user,4,1,4,1
Label_RSU_Brennan,RSU-Brennan,user,4,2,4,2
Label_DAC_Olivera,DAC-Olivera,user,1,0,1,0
Label_Etsy,Etsy,user,4,1,4,1
Label_Family,Family,user,2,1,2,1
Label_gen_000001,INBOX,system,29,9,29,9
Label_gen_000002,SENT,system,0,0,0,0
Label_gen_000003,DRAFT,system,1,0,1,0
Label_gen_000004,Clearwater,user,4,1,4,1
Label_gen_000005,RSU-Brennan,user,4,2,4,2
Label_gen_000006,DAC-Olivera,user,1,0,1,0
Label_gen_000007,Etsy,user,4,1,4,1
Label_gen_000008,Family,user,2,1,2,1
Label_gen_000009,INBOX,system,29,9,29,9
Label_gen_000010,SENT,system,0,0,0,0
Label_gen_000011,DRAFT,system,1,0,1,0
Label_gen_000012,Clearwater,user,4,1,4,1
Label_gen_000013,RSU-Brennan,user,4,2,4,2
Label_gen_000014,DAC-Olivera,user,1,0,1,0
Label_gen_000015,Etsy,user,4,1,4,1
Label_gen_000016,Family,user,2,1,2,1
Label_gen_000017,INBOX,system,29,9,29,9
Label_gen_000018,SENT,system,0,0,0,0
Label_gen_000019,DRAFT,system,1,0,1,0
Label_gen_000020,Clearwater,user,4,1,4,1
Label_gen_000021,RSU-Brennan,user,4,2,4,2
Label_gen_000022,DAC-Olivera,user,1,0,1,0
Label_gen_000023,Etsy,user,4,1,4,1
Label_gen_000024,Family,user,2,1,2,1
Label_gen_000025,INBOX,system,29,9,29,9
Label_gen_000026,SENT,system,0,0,0,0
Label_gen_000027,DRAFT,system,1,0,1,0
Label_gen_000028,Clearwater,user,4,1,4,1
Label_gen_000029,RSU-Brennan,user,4,2,4,2
Label_gen_000030,DAC-Olivera,user,1,0,1,0
Label_gen_000031,Etsy,user,4,1,4,1
Label_gen_000032,Family,user,2,1,2,1
Label_gen_000033,INBOX,system,29,9,29,9
Label_gen_000034,SENT,system,0,0,0,0
Label_gen_000035,DRAFT,system,1,0,1,0
Label_gen_000036,Clearwater,user,4,1,4,1
Label_gen_000037,RSU-Brennan,user,4,2,4,2
Label_gen_000038,DAC-Olivera,user,1,0,1,0
Label_gen_000039,Etsy,user,4,1,4,1
Label_gen_000040,Family,user,2,1,2,1
Label_gen_000041,INBOX,system,29,9,29,9
Label_gen_000042,SENT,system,0,0,0,0
Label_gen_000043,DRAFT,system,1,0,1,0
Label_gen_000044,Clearwater,user,4,1,4,1
Label_gen_000045,RSU-Brennan,user,4,2,4,2
Label_gen_000046,DAC-Olivera,user,1,0,1,0
Label_gen_000047,Etsy,user,4,1,4,1
Label_gen_000048,Family,user,2,1,2,1
Label_gen_000049,INBOX,system,29,9,29,9
Label_gen_000050,SENT,system,0,0,0,0
Label_gen_000051,DRAFT,system,1,0,1,0
Label_gen_000052,Clearwater,user,4,1,4,1
Label_gen_000053,RSU-Brennan,user,4,2,4,2
Label_gen_000054,DAC-Olivera,user,1,0,1,0
Label_gen_000055,Etsy,user,4,1,4,1
Label_gen_000056,Family,user,2,1,2,1
Label_gen_000057,INBOX,system,29,9,29,9
Label_gen_000058,SENT,system,0,0,0,0
Label_gen_000059,DRAFT,system,1,0,1,0
Label_gen_000060,Clearwater,user,4,1,4,1
Label_gen_000061,RSU-Brennan,user,4,2,4,2
Label_gen_000062,DAC-Olivera,user,1,0,1,0
Label_gen_000063,Etsy,user,4,1,4,1
Label_gen_000064,Family,user,2,1,2,1
Label_gen_000065,INBOX,system,29,9,29,9
Label_gen_000066,SENT,system,0,0,0,0
Label_gen_000067,DRAFT,system,1,0,1,0
Label_gen_000068,Clearwater,user,4,1,4,1
Label_gen_000069,RSU-Brennan,user,4,2,4,2
Label_gen_000070,DAC-Olivera,user,1,0,1,0
Label_gen_000071,Etsy,user,4,1,4,1
Label_gen_000072,Family,user,2,1,2,1
Label_gen_000073,INBOX,system,29,9,29,9
Label_gen_000074,SENT,system,0,0,0,0
Label_gen_000075,DRAFT,system,1,0,1,0
Label_gen_000076,Clearwater,user,4,1,4,1
Label_gen_000077,RSU-Brennan,user,4,2,4,2
Label_gen_000078,DAC-Olivera,user,1,0,1,0
Label_gen_000079,Etsy,user,4,1,4,1
Label_gen_000080,Family,user,2,1,2,1
Label_gen_000081,INBOX,system,29,9,29,9
Label_gen_000082,SENT,system,0,0,0,0
Label_gen_000083,DRAFT,system,1,0,1,0
Label_gen_000084,Clearwater,user,4,1,4,1
Label_gen_000085,RSU-Brennan,user,4,2,4,2
Label_gen_000086,DAC-Olivera,user,1,0,1,0
Label_gen_000087,Etsy,user,4,1,4,1
Label_gen_000088,Family,user,2,1,2,1
Label_gen_000089,INBOX,system,29,9,29,9
Label_gen_000090,SENT,system,0,0,0,0
Label_gen_000091,DRAFT,system,1,0,1,0
Label_gen_000092,Clearwater,user,4,1,4,1
Label_gen_000093,RSU-Brennan,user,4,2,4,2
