Id,Name,AccountType,AccountSubType,CurrentBalance,Active,Classification,Description
1,Etsy Sales — Income,Income,SalesOfProductIncome,0.00,True,Revenue,Sales via Etsy
2,Materials — Leather + dye,Expense,SuppliesMaterials,0.00,True,Expense,Leather + finishing supplies
3,Cash on hand,Bank,CashOnHand,2418.20,True,Asset,Operating cash
4,Etsy clearing,Bank,CashOnHand,618.40,True,Asset,Etsy deposits clearing
5,Accounts Receivable,Accounts Receivable,AccountsReceivable,0.00,True,Asset,
2001,Etsy Sales — Income,Income,SalesOfProductIncome,0.00,True,Revenue,Sales via Etsy
2002,Materials — Leather + dye,Expense,SuppliesMaterials,0.00,True,Expense,Leather + finishing supplies
2003,Cash on hand,Bank,CashOnHand,2418.20,True,Asset,Operating cash
2004,Etsy clearing,Bank,CashOnHand,618.40,True,Asset,Etsy deposits clearing
2005,Accounts Receivable,Accounts Receivable,AccountsReceivable,0.00,True,Asset,
2006,Etsy Sales — Income,Income,SalesOfProductIncome,0.00,True,Revenue,Sales via Etsy
2007,Materials — Leather + dye,Expense,SuppliesMaterials,0.00,True,Expense,Leather + finishing supplies
2008,Cash on hand,Bank,CashOnHand,2418.20,True,Asset,Operating cash
2009,Etsy clearing,Bank,CashOnHand,618.40,True,Asset,Etsy deposits clearing
2010,Accounts Receivable,Accounts Receivable,AccountsReceivable,0.00,True,Asset,
2011,Etsy Sales — Income,Income,SalesOfProductIncome,0.00,True,Revenue,Sales via Etsy
2012,Materials — Leather + dye,Expense,SuppliesMaterials,0.00,True,Expense,Leather + finishing supplies
2013,Cash on hand,Bank,CashOnHand,2418.20,True,Asset,Operating cash
2014,Etsy clearing,Bank,CashOnHand,618.40,True,Asset,Etsy deposits clearing
2015,Accounts Receivable,Accounts Receivable,AccountsReceivable,0.00,True,Asset,
2016,Etsy Sales — Income,Income,SalesOfProductIncome,0.00,True,Revenue,Sales via Etsy
2017,Materials — Leather + dye,Expense,SuppliesMaterials,0.00,True,Expense,Leather + finishing supplies
2018,Cash on hand,Bank,CashOnHand,2418.20,True,Asset,Operating cash
2019,Etsy clearing,Bank,CashOnHand,618.40,True,Asset,Etsy deposits clearing
2020,Accounts Receivable,Accounts Receivable,AccountsReceivable,0.00,True,Asset,
2021,Etsy Sales — Income,Income,SalesOfProductIncome,0.00,True,Revenue,Sales via Etsy
2022,Materials — Leather + dye,Expense,SuppliesMaterials,0.00,True,Expense,Leather + finishing supplies
2023,Cash on hand,Bank,CashOnHand,2418.20,True,Asset,Operating cash
2024,Etsy clearing,Bank,CashOnHand,618.40,True,Asset,Etsy deposits clearing
2025,Accounts Receivable,Accounts Receivable,AccountsReceivable,0.00,True,Asset,
