Id,Name,Industry,AnnualRevenue,Phone,Website,BillingCity,BillingState,NumberOfEmployees
001Ax0000A1Clear,Clearwater Environmental Trust,Nonprofit,4200000,+1-575-555-0110,https://clearwatertrust.org,Las Cruces,NM,28
001Ax0000B2DonaA,Dona Ana County Environmental Services,Government,,+1-575-555-0188,https://donaanacounty.org/environmental,Las Cruces,NM,45
001Ax0000G00001A,Clearwater Environmental Trust,Nonprofit,4200000,+1-575-555-0110,https://clearwatertrust.org,Las Cruces,NM,28
001Ax0000G00002A,Dona Ana County Environmental Services,Government,,+1-575-555-0188,https://donaanacounty.org/environmental,Las Cruces,NM,45
001Ax0000G00003A,Clearwater Environmental Trust,Nonprofit,4200000,+1-575-555-0110,https://clearwatertrust.org,Las Cruces,NM,28
001Ax0000G00004A,Dona Ana County Environmental Services,Government,,+1-575-555-0188,https://donaanacounty.org/environmental,Las Cruces,NM,45
001Ax0000G00005A,Clearwater Environmental Trust,Nonprofit,4200000,+1-575-555-0110,https://clearwatertrust.org,Las Cruces,NM,28
001Ax0000G00006A,Dona Ana County Environmental Services,Government,,+1-575-555-0188,https://donaanacounty.org/environmental,Las Cruces,NM,45
001Ax0000G00007A,Clearwater Environmental Trust,Nonprofit,4200000,+1-575-555-0110,https://clearwatertrust.org,Las Cruces,NM,28
001Ax0000G00008A,Dona Ana County Environmental Services,Government,,+1-575-555-0188,https://donaanacounty.org/environmental,Las Cruces,NM,45
001Ax0000G00009A,Clearwater Environmental Trust,Nonprofit,4200000,+1-575-555-0110,https://clearwatertrust.org,Las Cruces,NM,28
001Ax0000G00010A,Dona Ana County Environmental Services,Government,,+1-575-555-0188,https://donaanacounty.org/environmental,Las Cruces,NM,45
001Ax0000G00011A,Clearwater Environmental Trust,Nonprofit,4200000,+1-575-555-0110,https://clearwatertrust.org,Las Cruces,NM,28
001Ax0000G00012A,Dona Ana County Environmental Services,Government,,+1-575-555-0188,https://donaanacounty.org/environmental,Las Cruces,NM,45
001Ax0000G00013A,Clearwater Environmental Trust,Nonprofit,4200000,+1-575-555-0110,https://clearwatertrust.org,Las Cruces,NM,28
001Ax0000G00014A,Dona Ana County Environmental Services,Government,,+1-575-555-0188,https://donaanacounty.org/environmental,Las Cruces,NM,45
001Ax0000G00015A,Clearwater Environmental Trust,Nonprofit,4200000,+1-575-555-0110,https://clearwatertrust.org,Las Cruces,NM,28
001Ax0000G00016A,Dona Ana County Environmental Services,Government,,+1-575-555-0188,https://donaanacounty.org/environmental,Las Cruces,NM,45
001Ax0000G00017A,Clearwater Environmental Trust,Nonprofit,4200000,+1-575-555-0110,https://clearwatertrust.org,Las Cruces,NM,28
001Ax0000G00018A,Dona Ana County Environmental Services,Government,,+1-575-555-0188,https://donaanacounty.org/environmental,Las Cruces,NM,45
001Ax0000G00019A,Clearwater Environmental Trust,Nonprofit,4200000,+1-575-555-0110,https://clearwatertrust.org,Las Cruces,NM,28
001Ax0000G00020A,Dona Ana County Environmental Services,Government,,+1-575-555-0188,https://donaanacounty.org/environmental,Las Cruces,NM,45
001Ax0000G00021A,Clearwater Environmental Trust,Nonprofit,4200000,+1-575-555-0110,https://clearwatertrust.org,Las Cruces,NM,28
