id,name,is_private,is_archived,topic,purpose,creator,created,num_members
C_general,general,False,False,Doña Ana County Env Services — general,Workspace-wide announcements + chatter,U_olivera,1709308800,4
C_upstream,upstream-monitoring,False,False,Upstream cluster (Sites 1–6) — Tularosa confluence batch,Sample-batch coordination + lab updates,U_ian,1717459200,2
C_fieldwork,fieldwork,False,False,"Field-day logistics — gear, vehicles, weather windows",All-team field coordination,U_ian,1714867200,4
C_gen_000001,general,False,False,Doña Ana County Env Services — general,Workspace-wide announcements + chatter,U_olivera,1709308800,4
C_gen_000002,upstream-monitoring,False,False,Upstream cluster (Sites 1–6) — Tularosa confluence batch,Sample-batch coordination + lab updates,U_ian,1717459200,2
C_gen_000003,fieldwork,False,False,"Field-day logistics — gear, vehicles, weather windows",All-team field coordination,U_ian,1714867200,4
C_gen_000004,general,False,False,Doña Ana County Env Services — general,Workspace-wide announcements + chatter,U_olivera,1709308800,4
C_gen_000005,upstream-monitoring,False,False,Upstream cluster (Sites 1–6) — Tularosa confluence batch,Sample-batch coordination + lab updates,U_ian,1717459200,2
C_gen_000006,fieldwork,False,False,"Field-day logistics — gear, vehicles, weather windows",All-team field coordination,U_ian,1714867200,4
C_gen_000007,general,False,False,Doña Ana County Env Services — general,Workspace-wide announcements + chatter,U_olivera,1709308800,4
C_gen_000008,upstream-monitoring,False,False,Upstream cluster (Sites 1–6) — Tularosa confluence batch,Sample-batch coordination + lab updates,U_ian,1717459200,2
C_gen_000009,fieldwork,False,False,"Field-day logistics — gear, vehicles, weather windows",All-team field coordination,U_ian,1714867200,4
C_gen_000010,general,False,False,Doña Ana County Env Services — general,Workspace-wide announcements + chatter,U_olivera,1709308800,4
C_gen_000011,upstream-monitoring,False,False,Upstream cluster (Sites 1–6) — Tularosa confluence batch,Sample-batch coordination + lab updates,U_ian,1717459200,2
C_gen_000012,fieldwork,False,False,"Field-day logistics — gear, vehicles, weather windows",All-team field coordination,U_ian,1714867200,4
