transaction_id,account_id,amount,iso_currency_code,date,name,merchant_name,category,pending,payment_channel
txn_0001,acc_checking,-1568.25,USD,2026-09-16,IRS USATAXPYMT,IRS,Tax,false,other
txn_0002,acc_checking,-1240.18,USD,2026-09-22,GRACE ELECTRICAL SUPPLY,Grace Supply,Hardware,false,other
txn_0003,acc_checking,150.00,USD,2026-09-25,STRIPE PAYOUT,Stripe,Transfer,false,other
txn_0004,acc_checking,2500.00,USD,2026-10-09,STRIPE PAYOUT SOLAR DEPOSIT,Stripe,Transfer,false,other
txn_0005,acc_checking,-450.00,USD,2026-10-02,US BANK LOAN PYMT,US Bank,Loan,false,other
txn_0006,acc_checking,-318.44,USD,2026-10-05,HOME DEPOT PRO,Home Depot,Hardware,false,other
txn_0007,acc_checking,-295.00,USD,2026-10-07,MATC EXAM FEE,MATC,Education,false,other
txn_0008,acc_checking,-800.00,USD,2026-09-30,SEP IRA CONTRIB,Fidelity,Investment,false,other
txn_0009,acc_checking,-1500.00,USD,2026-10-01,MORTGAGE PYMT,US Bank,Mortgage,false,other
txn_0010,acc_checking,-212.99,USD,2026-10-08,MILWAUKEE TOOL,Milwaukee Tool,Hardware,false,other
txn_0011,acc_checking,-52.10,USD,2026-09-17,KWIK TRIP,Kwik Trip,Gas,false,in store
txn_0012,acc_checking,-118.77,USD,2026-09-18,PICK N SAVE,Pick N Save,Groceries,false,in store
txn_0013,acc_checking,-64.20,USD,2026-09-19,AMAZON,Amazon,Shopping,false,in store
txn_0014,acc_checking,-48.55,USD,2026-09-20,SHELL,Shell,Gas,false,in store
txn_0015,acc_checking,-9.85,USD,2026-09-21,STARBUCKS,Starbucks,Dining,false,in store
txn_0016,acc_checking,-27.40,USD,2026-09-22,DOMINOS,Dominos,Dining,false,in store
txn_0017,acc_checking,-52.10,USD,2026-09-23,KWIK TRIP,Kwik Trip,Gas,false,in store
txn_0018,acc_checking,-118.77,USD,2026-09-24,PICK N SAVE,Pick N Save,Groceries,false,in store
txn_0019,acc_checking,-64.20,USD,2026-09-25,AMAZON,Amazon,Shopping,false,in store
txn_0020,acc_checking,-48.55,USD,2026-09-26,SHELL,Shell,Gas,false,in store
txn_0021,acc_checking,-9.85,USD,2026-09-27,STARBUCKS,Starbucks,Dining,false,in store
txn_0022,acc_checking,-27.40,USD,2026-09-28,DOMINOS,Dominos,Dining,false,in store
txn_0023,acc_checking,-52.10,USD,2026-09-29,KWIK TRIP,Kwik Trip,Gas,false,in store
txn_0024,acc_checking,-118.77,USD,2026-09-30,PICK N SAVE,Pick N Save,Groceries,false,in store
txn_0025,acc_checking,-64.20,USD,2026-10-01,AMAZON,Amazon,Shopping,false,in store
txn_0026,acc_checking,-48.55,USD,2026-10-02,SHELL,Shell,Gas,false,in store
txn_0027,acc_checking,-9.85,USD,2026-10-03,STARBUCKS,Starbucks,Dining,false,in store
txn_0028,acc_checking,-27.40,USD,2026-10-04,DOMINOS,Dominos,Dining,false,in store
txn_0029,acc_checking,-52.10,USD,2026-10-05,KWIK TRIP,Kwik Trip,Gas,false,in store
txn_0030,acc_checking,-118.77,USD,2026-10-06,PICK N SAVE,Pick N Save,Groceries,false,in store
