tableId,id,name,type
tblPlots,fldPlotID,PlotID,singleLineText
tblPlots,fldYieldKgM2,Yield_kg_m2,number
tblPlots,fldDisputeFlag,DisputeFlag,checkbox
tblPlots,fldCultivar,Cultivar,singleSelect
tblPlots,fldHarvestDate,HarvestDate,singleLineText
tblFarmers,fldFarmerID,FarmerID,singleLineText
tblFarmers,fldLGA,LGA,singleSelect
tblFarmers,fldActive,Active,checkbox
tblFarmers,fldJoinedDate,JoinedDate,singleLineText
tblFarmers,fldPhone,Phone,singleLineText
tblFarmers,fldCoopStatus,CoopStatus,singleSelect
tblEquipment,fldAssetID,AssetID,singleLineText
tblEquipment,fldName,Name,singleLineText
tblEquipment,fldStatus,Status,singleSelect
tblEquipment,fldAssignedTo,AssignedTo,singleLineText
tblEquipment,fldLastCalibrated,LastCalibrated,singleLineText
