id,createdTime,PlotID,Yield_kg_m2,DisputeFlag,Cultivar,HarvestDate
recUDI001,2026-03-15T08:00:00.000Z,UDI-2026-001,11.4,False,TMS-Vit-A,2026-09-18
recUDI002,2026-03-15T08:00:00.000Z,UDI-2026-002,12.1,False,TMS-Vit-A,2026-09-18
recUDI003,2026-03-15T08:00:00.000Z,UDI-2026-003,10.9,False,TMS-Control,2026-09-19
recUDI004,2026-03-15T08:00:00.000Z,UDI-2026-004,13.2,False,TMS-Vit-A,2026-09-19
recUDI005,2026-03-15T08:00:00.000Z,UDI-2026-005,13.8,False,TMS-Vit-A,2026-09-20
recUDI006,2026-03-15T08:00:00.000Z,UDI-2026-006,12.7,False,TMS-Control,2026-09-20
recUDI007,2026-03-15T08:00:00.000Z,UDI-2026-007,14.2,False,TMS-Vit-A,2026-09-21
recUDI008,2026-03-15T08:00:00.000Z,UDI-2026-008,11.8,False,TMS-Vit-A,2026-09-21
recUDI009,2026-03-15T08:00:00.000Z,UDI-2026-009,12.4,True,TMS-Control,2026-09-22
recUDI010,2026-03-15T08:00:00.000Z,UDI-2026-010,13.5,False,TMS-Vit-A,2026-09-22
recUDI070,2026-03-15T08:00:00.000Z,UDI-2026-070,16.8,False,TMS-Vit-A,2026-09-24
