iata_code,name,city_name,city_code,country_name,country_code,latitude,longitude,timezone
ENU,Akanu Ibiam Intl,Enugu,ENU,Nigeria,NG,6.4742,7.5619,Africa/Lagos
LOS,Murtala Muhammed,Lagos,LOS,Nigeria,NG,6.5774,3.321,Africa/Lagos
ABV,Nnamdi Azikiwe Intl,Abuja,ABV,Nigeria,NG,9.0068,7.2632,Africa/Lagos
NBO,Jomo Kenyatta Intl,Nairobi,NBO,Kenya,KE,-1.3192,36.9278,Africa/Nairobi
IAH,George Bush Intercontinental,Houston,HOU,United States,US,29.9844,-95.3414,America/Chicago
JFK,John F. Kennedy Intl,New York,NYC,United States,US,40.6413,-73.7781,America/New_York
LHR,London Heathrow,London,LON,United Kingdom,GB,51.47,-0.4543,Europe/London
CDG,Charles de Gaulle,Paris,PAR,France,FR,49.0097,2.5479,Europe/Paris
DXB,Dubai Intl,Dubai,DXB,UAE,AE,25.2532,55.3657,Asia/Dubai
DOH,Hamad Intl,Doha,DOH,Qatar,QA,25.2611,51.5651,Asia/Qatar
FRA,Frankfurt Main,Frankfurt,FRA,Germany,DE,50.0379,8.5622,Europe/Berlin
IST,Istanbul Airport,Istanbul,IST,Turkey,TR,41.2753,28.7519,Europe/Istanbul
