tableId,id,name,type
tblRoster,fldRosterName,name,singleLineText
tblRoster,fldRosterNumber,number,number
tblRoster,fldRosterPos,position,singleSelect
tblRoster,fldRosterStatus,status,singleSelect
tblRoster,fldRosterBorn,year_of_birth,number
tblScouting,fldScoutPlayer,player,singleLineText
tblScouting,fldScoutNumber,number,number
tblScouting,fldScoutToiPerG,ice_time_per_game,number
tblScouting,fldScoutDraftElig,draft_eligibility,singleSelect
tblScouting,fldScoutShfRow,shf_row,number
tblScouting,fldScoutStrideF,stride_flag,singleSelect
tblScouting,fldScoutMedNote,medical_note,multilineText
tblOppShifts,fldOppGame,game_id,singleLineText
tblOppShifts,fldOppShiftN,shift_number,number
tblOppShifts,fldOppUnit,opp_unit,singleLineText
tblOppShifts,fldOppLengthS,length_seconds,number
tblOppShifts,fldOppOutcome,outcome,singleLineText
tblCampMetrics,fldCampMetric,metric,singleLineText
tblCampMetrics,fldCampValue2026,value_2026,number
tblCampMetrics,fldCampTarget2027,target_2027,singleLineText
tblCampMetrics,fldCampNotes,notes,multilineText
