Id,Name,AccountType,AccountSubType,CurrentBalance,Active,Classification,Description
1,Operating Checking - Blue Ridge Community,Bank,Checking,84210.55,true,,
2,Tap Room Cash Drawer,Bank,Checking,850.0,true,,
3,Brewery Reserve Savings,Bank,Savings,40000.0,true,,
4,Accounts Receivable - Distributor,Accounts Receivable,AccountsReceivable,22480.0,true,,
5,Inventory - Raw Ingredients,Other Current Asset,Inventory,18420.0,true,,
6,Inventory - Packaging,Other Current Asset,Inventory,6840.0,true,,
7,Inventory - Finished Goods,Other Current Asset,Inventory,31240.0,true,,
8,Accounts Payable,Accounts Payable,AccountsPayable,14820.5,true,,
9,Sales Tax Payable,Other Current Liability,SalesTaxPayable,2840.1,true,,
10,Renovation Loan - BR Community,Long Term Liability,LongTermLiability,16000.0,true,,
11,Cost of Goods Sold - Ingredients,Cost of Goods Sold,CostOfGoodsSold,0.0,true,,
12,Utilities - Electric,Expense,Utilities,0.0,true,,
13,Utilities - Gas,Expense,Utilities,0.0,true,,
14,Utilities - Water/Sewer,Expense,Utilities,0.0,true,,
15,Payroll,Expense,Payroll,0.0,true,,
16,Insurance,Expense,Insurance,0.0,true,,
17,Equipment Maintenance,Expense,Maintenance,0.0,true,,
18,Marketing & Branding,Expense,Advertising,0.0,true,,
