id,page_id,name,prefix
300001,pg_002,equity,global
300002,pg_002,policy,global
300003,pg_002,inclusion,global
300004,pg_002,board-approved,global
300005,pg_003,partnerships,global
300006,pg_003,community,global
300007,pg_003,policy,global
300008,pg_003,board-approved,global
300009,pg_004,student-privacy,global
300010,pg_004,records,global
300011,pg_004,MFIPPA,global
300012,pg_004,board-approved,global
300013,pg_005,hr,global
300014,pg_005,performance,global
300015,pg_005,confidential,global
300016,pg_006,hr,global
300017,pg_006,salary,global
300018,pg_006,confidential,global
300019,pg_006,collective-agreement,global
300020,pg_007,equity,global
300021,pg_007,curriculum,global
300022,pg_007,anti-racism,global
300023,pg_007,crp,global
300024,pg_008,crp,global
300025,pg_008,pedagogy,global
300026,pg_008,equity,global
300027,pg_008,curriculum,global
300028,pg_010,board-meeting,global
300029,pg_010,governance,global
300030,pg_010,procedures,global
