tableId,id,name,type
tblVaccines000001,fldVaccineName01,vaccine_name,singleLineText
tblVaccines000001,fldClient00000001,client,singleLineText
tblVaccines000001,fldHeadCount0001,head_count,number
tblVaccines000001,fldUnitCost000001,per_bolus_cost,currency
tblVaccines000001,fldLineTotal0001,line_total_usd,currency
tblVaccines000001,fldVendor00000001,vendor,singleLineText
tblVaccines000001,fldPONumber000001,po_number,singleLineText
tblVaccines000001,fldExpectedETA001,expected_eta,date
tblVaccines000001,fldOrderStatus001,order_status,singleSelect
tblCompLog000001,fldEventName0001,event_name,singleLineText
tblCompLog000001,fldEventDate0001,event_date,date
tblCompLog000001,fldDivision000001,division,singleSelect
tblCompLog000001,fldHorse00000001,horse,singleLineText
tblCompLog000001,fldRunTime000001,run_time_sec,number
tblCompLog000001,fldPlacement0001,placement,number
tblCompLog000001,fldPayoutUSD0001,payout_usd,currency
tblCompLog000001,fldNotes000000001,notes,multilineText
