id,name,parent_id,owner_id,description,size,extension,sha1,created_at,modified_at
boxf_census,parc_extension_census_refresh.csv,fold_parcex,box_ruth,"Refreshed census: cost-burdened renters 46% (revised, supersedes 40%). Immigrant share 60%. Renter share 40%.",412,csv,a1b2c3,2026-10-12T09:00:00Z,2026-10-12T09:00:00Z
boxf_survey,parc_extension_survey_results.xlsx,fold_parcex,box_ruth,"Four-language survey: French 38.4%, English 35.1%, Tamil 51.2%, Urdu 48.6%.",5204,xlsx,d4e5f6,2026-10-12T09:05:00Z,2026-10-12T09:05:00Z
boxf_000,fieldwork_log_0.xlsx,fold_parcex,box_ruth,Federal partner raw artifact.,739589,xlsx,1a410,2026-08-02T09:00:00Z,2026-10-12T09:00:00Z
boxf_001,outreach_funnel_export_1.csv,fold_archive,box_ruth,Federal partner raw artifact.,126522,csv,7a48a,2026-02-18T09:00:00Z,2026-10-09T09:00:00Z
boxf_002,interpreter_invoices_2.pdf,fold_shared,box_ruth,Internal working file.,196489,pdf,554ed,2026-09-18T09:00:00Z,2026-10-09T09:00:00Z
boxf_003,consent_forms_batch_3.zip,fold_archive,box_ruth,Archived.,195549,zip,bfa16,2026-08-11T09:00:00Z,2026-10-05T09:00:00Z
boxf_004,outreach_funnel_export_4.csv,fold_shared,box_ruth,Archived.,342513,csv,d1364,2026-07-01T09:00:00Z,2026-10-04T09:00:00Z
boxf_005,outreach_funnel_export_5.csv,fold_parcex,box_ruth,Federal partner raw artifact.,644622,csv,bad04,2026-06-16T09:00:00Z,2026-10-12T09:00:00Z
boxf_006,interpreter_invoices_6.pdf,fold_shared,box_ruth,Federal partner raw artifact.,736861,pdf,58a61,2026-09-08T09:00:00Z,2026-10-05T09:00:00Z
boxf_007,interpreter_invoices_7.pdf,fold_shared,box_ruth,Federal partner raw artifact.,516158,pdf,8db97,2026-06-10T09:00:00Z,2026-10-01T09:00:00Z
boxf_008,consent_forms_batch_8.zip,fold_parcex,box_ruth,Federal partner raw artifact.,542800,zip,ca85f,2026-03-05T09:00:00Z,2026-10-10T09:00:00Z
boxf_009,fieldwork_log_9.xlsx,fold_parcex,box_ruth,Internal working file.,238343,xlsx,d3918,2026-03-15T09:00:00Z,2026-10-02T09:00:00Z
