id,page_id,author,body,created_at
300200,100228,usr_ruth,Added the Tamil/Urdu breakdown.,2026-08-02T10:00:00.000Z
300201,100221,usr_ruth,Need JF sign-off.,2026-09-01T10:00:00.000Z
300202,100211,usr_amara,Need JF sign-off.,2026-08-13T10:00:00.000Z
300203,100218,usr_amara,Keep immigrant data internal.,2026-10-01T10:00:00.000Z
300204,100228,usr_ruth,Added the Tamil/Urdu breakdown.,2026-09-03T10:00:00.000Z
300205,100225,usr_ruth,Updated the figures.,2026-10-03T10:00:00.000Z
300206,100225,usr_ruth,Need JF sign-off.,2026-09-04T10:00:00.000Z
300207,100216,usr_ruth,Need JF sign-off.,2026-09-13T10:00:00.000Z
300208,100224,usr_ruth,Added the Tamil/Urdu breakdown.,2026-10-11T10:00:00.000Z
300209,100211,usr_amara,Reconciled with GIS.,2026-08-01T10:00:00.000Z
300210,100220,usr_ruth,Reconciled with GIS.,2026-09-08T10:00:00.000Z
300211,100219,usr_amara,Need JF sign-off.,2026-08-03T10:00:00.000Z
300212,100229,usr_ruth,Reconciled with GIS.,2026-08-09T10:00:00.000Z
300213,100219,usr_amara,Added the Tamil/Urdu breakdown.,2026-08-13T10:00:00.000Z
300214,100227,usr_amara,Reconciled with GIS.,2026-10-07T10:00:00.000Z
300215,100230,usr_ruth,Draft only.,2026-08-14T10:00:00.000Z
300216,100210,usr_amara,Draft only.,2026-09-07T10:00:00.000Z
300217,100216,usr_ruth,Reconciled with GIS.,2026-09-10T10:00:00.000Z
300218,100202,usr_amara,Need JF sign-off.,2026-08-10T10:00:00.000Z
300219,100227,usr_ruth,Updated the figures.,2026-10-12T10:00:00.000Z
300220,100202,usr_ruth,Reconciled with GIS.,2026-10-01T10:00:00.000Z
300221,100210,usr_amara,Updated the figures.,2026-09-13T10:00:00.000Z
300222,100226,usr_amara,Reconciled with GIS.,2026-09-13T10:00:00.000Z
300223,100212,usr_amara,Updated the figures.,2026-09-14T10:00:00.000Z
300224,100213,usr_ruth,Reconciled with GIS.,2026-09-04T10:00:00.000Z
300225,100222,usr_amara,Reconciled with GIS.,2026-09-03T10:00:00.000Z
300226,100213,usr_ruth,Updated the figures.,2026-10-09T10:00:00.000Z
300227,100210,usr_amara,Draft only.,2026-09-03T10:00:00.000Z
300228,100223,usr_amara,Draft only.,2026-09-04T10:00:00.000Z
300229,100215,usr_ruth,Added the Tamil/Urdu breakdown.,2026-09-11T10:00:00.000Z
300230,100224,usr_ruth,Added the Tamil/Urdu breakdown.,2026-10-07T10:00:00.000Z
300231,100210,usr_ruth,Keep immigrant data internal.,2026-08-09T10:00:00.000Z
300232,100230,usr_ruth,Need JF sign-off.,2026-09-08T10:00:00.000Z
300233,100214,usr_ruth,Draft only.,2026-09-12T10:00:00.000Z
300234,100212,usr_amara,Draft only.,2026-09-05T10:00:00.000Z
300235,100211,usr_ruth,Updated the figures.,2026-09-09T10:00:00.000Z
300236,100214,usr_ruth,Keep immigrant data internal.,2026-10-08T10:00:00.000Z
300237,100217,usr_ruth,Keep immigrant data internal.,2026-09-03T10:00:00.000Z
300238,100223,usr_amara,Need JF sign-off.,2026-08-09T10:00:00.000Z
300239,100226,usr_amara,Draft only.,2026-09-10T10:00:00.000Z
300240,100226,usr_amara,Keep immigrant data internal.,2026-08-07T10:00:00.000Z
300241,100219,usr_amara,Updated the figures.,2026-10-03T10:00:00.000Z
300242,100225,usr_amara,Added the Tamil/Urdu breakdown.,2026-09-13T10:00:00.000Z
300243,100213,usr_amara,Need JF sign-off.,2026-08-06T10:00:00.000Z
300244,100221,usr_ruth,Draft only.,2026-09-01T10:00:00.000Z
300245,100228,usr_amara,Added the Tamil/Urdu breakdown.,2026-09-11T10:00:00.000Z
300246,100229,usr_amara,Draft only.,2026-10-01T10:00:00.000Z
300247,100230,usr_amara,Draft only.,2026-09-14T10:00:00.000Z
300248,100219,usr_ruth,Draft only.,2026-10-01T10:00:00.000Z
300249,100201,usr_amara,Updated the figures.,2026-08-06T10:00:00.000Z
300250,100221,usr_amara,Updated the figures.,2026-08-02T10:00:00.000Z
300251,100227,usr_amara,Reconciled with GIS.,2026-10-10T10:00:00.000Z
300252,100220,usr_ruth,Added the Tamil/Urdu breakdown.,2026-08-10T10:00:00.000Z
300253,100218,usr_ruth,Draft only.,2026-08-05T10:00:00.000Z
300254,100203,usr_amara,Reconciled with GIS.,2026-09-07T10:00:00.000Z
300255,100229,usr_ruth,Draft only.,2026-08-07T10:00:00.000Z
300256,100221,usr_amara,Keep immigrant data internal.,2026-09-14T10:00:00.000Z
300257,100216,usr_ruth,Need JF sign-off.,2026-10-11T10:00:00.000Z
300258,100203,usr_amara,Need JF sign-off.,2026-10-02T10:00:00.000Z
300259,100210,usr_ruth,Reconciled with GIS.,2026-10-12T10:00:00.000Z
