page_id,property_name,property_type,value
ouellet_position_note,position,select,neutral-pending-final-round
ouellet_position_note,prior_position,select,cautious-supportive
sophie_headcount_note,headcount,number,210
sophie_headcount_note,prior_headcount,number,180
pg_000,status,select,active
pg_000,engagement,number,11
pg_001,status,select,logged
pg_001,engagement,number,6
pg_002,status,select,follow-up
pg_002,engagement,number,10
pg_003,status,select,logged
pg_003,engagement,number,16
pg_004,status,select,active
pg_004,engagement,number,1
pg_005,status,select,logged
pg_005,engagement,number,1
pg_006,status,select,logged
pg_006,engagement,number,8
pg_007,status,select,follow-up
pg_007,engagement,number,11
pg_008,status,select,active
pg_008,engagement,number,5
pg_009,status,select,closed
pg_009,engagement,number,1
pg_010,status,select,active
pg_010,engagement,number,19
pg_011,status,select,follow-up
pg_011,engagement,number,7
pg_012,status,select,active
pg_012,engagement,number,13
pg_013,status,select,closed
pg_013,engagement,number,5
pg_014,status,select,active
pg_014,engagement,number,5
pg_015,status,select,closed
pg_015,engagement,number,1
pg_016,status,select,logged
pg_016,engagement,number,17
pg_017,status,select,follow-up
pg_017,engagement,number,2
pg_018,status,select,active
pg_018,engagement,number,2
pg_019,status,select,follow-up
pg_019,engagement,number,7
pg_020,status,select,active
pg_020,engagement,number,10
pg_021,status,select,follow-up
pg_021,engagement,number,6
pg_022,status,select,active
pg_022,engagement,number,1
pg_023,status,select,follow-up
pg_023,engagement,number,9
pg_024,status,select,active
pg_024,engagement,number,15
pg_025,status,select,closed
pg_025,engagement,number,3
pg_026,status,select,logged
pg_026,engagement,number,14
pg_027,status,select,follow-up
pg_027,engagement,number,18
pg_028,status,select,logged
pg_028,engagement,number,6
pg_029,status,select,follow-up
pg_029,engagement,number,1
pg_030,status,select,closed
pg_030,engagement,number,10
pg_031,status,select,closed
pg_031,engagement,number,13
pg_032,status,select,logged
pg_032,engagement,number,19
pg_033,status,select,active
pg_033,engagement,number,16
pg_034,status,select,closed
pg_034,engagement,number,1
pg_035,status,select,active
pg_035,engagement,number,6
pg_036,status,select,closed
pg_036,engagement,number,8
pg_037,status,select,active
pg_037,engagement,number,7
pg_038,status,select,active
pg_038,engagement,number,15
pg_039,status,select,active
pg_039,engagement,number,11
pg_040,status,select,active
pg_040,engagement,number,4
pg_041,status,select,active
pg_041,engagement,number,4
pg_042,status,select,closed
pg_042,engagement,number,14
pg_043,status,select,active
pg_043,engagement,number,14
pg_044,status,select,closed
pg_044,engagement,number,6
pg_045,status,select,follow-up
pg_045,engagement,number,4
pg_046,status,select,logged
pg_046,engagement,number,5
pg_047,status,select,logged
pg_047,engagement,number,19
pg_048,status,select,closed
pg_048,engagement,number,10
pg_049,status,select,logged
pg_049,engagement,number,15
pg_050,status,select,active
pg_050,engagement,number,3
pg_051,status,select,closed
pg_051,engagement,number,9
pg_052,status,select,active
pg_052,engagement,number,15
pg_053,status,select,closed
pg_053,engagement,number,20
pg_054,status,select,closed
pg_054,engagement,number,10
pg_055,status,select,active
pg_055,engagement,number,6
pg_056,status,select,follow-up
pg_056,engagement,number,6
pg_057,status,select,follow-up
pg_057,engagement,number,13
pg_058,status,select,closed
pg_058,engagement,number,8
pg_059,status,select,closed
pg_059,engagement,number,15
pg_060,status,select,active
pg_060,engagement,number,7
pg_061,status,select,closed
pg_061,engagement,number,4
pg_062,status,select,active
pg_062,engagement,number,9
pg_063,status,select,logged
pg_063,engagement,number,16
