frame_node_id,frame_name,file_key,last_modified,status,finding_linked
10:05,Login Redesign v3,FK_PPR26A_sprint3,2026-09-15,archived,yes
10:08,Refill Flow v3,FK_PPR26A_sprint3,2026-09-18,archived,yes
10:12,Secure Messaging v3,FK_PPR26A_sprint3,2026-09-20,archived,yes
11:01,Login Redesign SSO,FK_PPR26A_sprint4,2026-10-02,active,yes
11:14,Refill Flow Step Nav,FK_PPR26A_sprint4,2026-10-05,active,yes
11:27,Secure Messaging Panel,FK_PPR26A_sprint4,2026-10-10,active,yes
11:33,Appointment Scheduling,FK_PPR26A_sprint4,2026-10-12,active,no
12:01,Stepper Login Concept,FK_PPR26A_stepper,2026-10-14,active,no
12:14,Stepper Refill Concept,FK_PPR26A_stepper,2026-10-14,active,no
12:27,Stepper Messaging Concept,FK_PPR26A_stepper,2026-10-15,active,no
12:88,Orphan Test Frame,FK_PPR26A_stepper,2026-10-15,active,no
