order_date,order_id,item,quantity,price,status
2026-09-25,112-7982241-4786401,Anker USB-C Cable 3-Pack,1,14.99,Delivered
2026-09-13,112-8558378-8427625,Kindle Unlimited Subscription,1,11.99,Delivered
2026-05-28,112-8194570-6123430,Back Stretcher Lumbar Support,1,34.99,Delivered
2026-01-20,112-2664863-4486102,Kids Water Bottles 2-Pack,1,18.49,Delivered
2026-04-09,112-2362099-3634980,Organic Dog Treats,1,12.99,Delivered
2026-04-06,112-2259379-3626181,Phone Case Clear,1,9.99,Delivered
2026-01-14,112-8558197-8883823,HEPA Air Filter Replacement,1,24.99,Delivered
2026-05-02,112-4883526-5833597,Resistance Bands Set,1,15.99,Delivered
2026-05-23,112-8617381-2194198,Stainless Steel Lunch Containers,1,28.99,Delivered
2026-04-09,112-4318855-8132648,Trail Mix Bulk 2lb,1,16.49,Delivered
2026-02-18,112-4771676-3499627,Bluetooth Speaker Portable,1,29.99,Delivered
2026-05-27,112-3386328-2198058,Yoga Mat 6mm,1,22.99,Delivered
2026-01-06,112-6160869-5842082,LED Headlamp Rechargeable,1,19.99,Delivered
2026-08-04,112-8863447-6101803,Kids Art Supplies Kit,1,21.49,Delivered
2026-07-09,112-9396529-9284509,Microfiber Cleaning Cloths 12pk,1,8.99,Delivered
2026-08-03,112-1668752-8248238,Dry Erase Markers 12pk,1,7.49,Delivered
2026-06-20,112-5200476-1433940,Insulated Water Bottle 32oz,1,24.99,Delivered
2026-02-08,112-1348050-5521644,First Aid Kit Compact,1,15.99,Delivered
2026-01-25,112-3939212-8893693,Sunscreen SPF 50 Sport,1,11.49,Delivered
2026-09-21,112-8419378-5666692,Hiking Socks Merino 3-Pack,1,19.99,Delivered
