date,station,gallons,price_per_gal,total,odometer,notes
2026-01-02,Chevron SLC,8.410,3.823,32.15,45649,
2026-01-12,Maverik #0412,4.955,3.804,18.85,46016,
2026-01-01,Shell S 700 E,2.454,4.026,9.88,46323,
2026-01-14,Chevron SLC,4.447,3.895,17.32,46720,
2026-02-21,Chevron SLC,5.962,3.881,23.14,47137,
2026-02-25,Shell S 700 E,4.482,3.775,16.92,47568,
2026-02-09,Chevron SLC,3.712,4.046,15.02,47870,
2026-02-09,Shell S 700 E,7.559,3.621,27.37,48268,
2026-03-28,Chevron SLC,8.851,3.577,31.66,48602,
2026-03-12,Chevron SLC,4.721,3.688,17.41,49034,
2026-03-23,Chevron SLC,2.399,3.839,9.21,49446,
2026-03-07,Maverik #0412,7.411,3.619,26.82,49830,
2026-04-16,Shell S 700 E,8.475,3.764,31.90,50114,
2026-04-03,Chevron SLC,4.669,3.605,16.83,50456,
2026-04-10,Chevron SLC,10.479,3.781,39.62,50871,
2026-05-11,Chevron SLC,7.217,3.942,28.45,51220,
2026-05-10,Chevron SLC,6.239,3.611,22.53,51549,
2026-05-11,Maverik #0412,8.544,3.970,33.92,51876,
2026-06-16,Chevron SLC,6.760,3.957,26.75,52290,
2026-06-20,Chevron SLC,15.583,4.136,64.45,52619,
2026-07-01,Costco Gas #1234,7.748,3.642,28.22,52912,
2026-07-18,Chevron SLC,4.883,3.938,19.23,53224,
2026-07-21,Shell S 700 E,13.643,3.522,48.05,53507,
2026-08-02,Chevron SLC,6.617,4.109,27.19,53909,
2026-08-04,Maverik #0412,5.692,3.730,21.23,54207,
2026-08-19,Maverik #0412,3.594,3.556,12.78,54631,
2026-08-10,Maverik #0412,6.609,4.146,27.40,54941,
