month,groceries,gas,dining_doordash,utilities,subscriptions,personal_misc
January,478.9,72.3,128.4,225.0,32.0,75.2
February,465.2,68.5,135.6,228.0,32.0,82.4
March,492.1,75.8,141.3,222.0,32.0,91.5
April,488.3,79.4,138.9,230.0,32.0,68.3
May,501.45,82.1,145.2,218.0,32.0,88.6
June,510.6,85.3,152.8,235.0,32.0,95.1
July,518.2,88.9,158.4,242.0,32.0,78.4
August,525.8,84.2,165.3,238.0,32.0,102.3
September,508.4,80.5,148.9,230.0,32.0,86.7
October,515.3,76.8,155.2,235.0,32.0,94.5
November,530.1,72.4,168.4,245.0,32.0,108.2
December,548.9,68.3,185.6,250.0,32.0,125.4
