month,category,target,actual,difference
January,groceries,500,512.34,12.34
January,gas,75,78.2,3.2
January,dining_doordash,150,142.6,-7.4
February,groceries,500,498.15,-1.85
February,gas,75,82.45,7.45
February,dining_doordash,150,155.3,5.3
March,groceries,500,525.8,25.8
March,gas,75,85.1,10.1
March,dining_doordash,150,148.75,-1.25
April,groceries,500,530.6,30.6
April,gas,75,88.35,13.35
April,dining_doordash,150,162.4,12.4
May,groceries,500,542.25,42.25
May,gas,75,84.9,9.9
May,dining_doordash,150,158.15,8.15
June,groceries,500,548.7,48.7
June,gas,75,91.2,16.2
June,dining_doordash,150,170.85,20.85
July,groceries,500,560.4,60.4
July,gas,75,95.5,20.5
July,dining_doordash,150,175.3,25.3
August,groceries,500,565.15,65.15
August,gas,75,88.6,13.6
August,dining_doordash,150,182.45,32.45
