date,store,amount,payment_method,notes
2026-01-18,Smith's Food & Drug #0823,83.66,cash,
2026-01-08,Whole Foods Market #10847,65.79,debit,
2026-01-23,Natural Grocers SLC,56.95,debit,
2026-01-08,Whole Foods Market #10847,33.61,debit,
2026-01-28,Costco Wholesale #1234,41.05,debit,
2026-01-17,Smith's Food & Drug #0823,24.52,credit card,
2026-01-22,Trader Joe's #713,38.24,debit,
2026-01-18,Smith's Food & Drug #0823,19.84,cash,
2026-01-19,Harmons Grocery,12.96,credit card,
2026-01-08,Trader Joe's #713,8.09,credit card,
2026-01-07,Whole Foods Market #10847,6.78,debit,
2026-01-22,Trader Joe's #713,120.85,credit card,
2026-02-18,Trader Joe's #713,55.63,debit,
2026-02-14,Smith's Food & Drug #0823,79.47,credit card,
2026-02-15,Smith's Food & Drug #0823,21.10,debit,
2026-02-15,Harmons Grocery,50.61,debit,
2026-02-02,Natural Grocers SLC,42.81,cash,
2026-02-27,Whole Foods Market #10847,14.69,debit,
2026-02-25,Smith's Food & Drug #0823,37.23,debit,
2026-02-14,Trader Joe's #713,33.44,credit card,
2026-02-07,Trader Joe's #713,10.83,debit,
2026-02-06,Trader Joe's #713,12.00,debit,
2026-02-13,Costco Wholesale #1234,140.34,credit card,
2026-03-18,Whole Foods Market #10847,59.65,cash,
2026-03-11,Whole Foods Market #10847,90.25,debit,
2026-03-19,Trader Joe's #713,74.92,cash,
2026-03-28,Harmons Grocery,40.14,debit,
2026-03-02,Harmons Grocery,41.15,debit,
2026-03-28,Smith's Food & Drug #0823,16.09,debit,
2026-03-20,Whole Foods Market #10847,19.24,cash,
2026-03-28,Smith's Food & Drug #0823,36.01,credit card,
2026-03-04,Harmons Grocery,20.31,debit,
2026-03-19,Harmons Grocery,128.04,debit,
2026-04-25,Whole Foods Market #10847,33.06,debit,
2026-04-15,Harmons Grocery,73.94,cash,
2026-04-04,Whole Foods Market #10847,57.09,cash,
2026-04-07,Harmons Grocery,35.72,credit card,
2026-04-05,Costco Wholesale #1234,29.48,debit,
2026-04-08,Costco Wholesale #1234,45.33,credit card,
2026-04-06,Trader Joe's #713,24.86,cash,
2026-04-23,Costco Wholesale #1234,20.76,cash,
2026-04-26,Natural Grocers SLC,14.65,cash,
2026-04-01,Natural Grocers SLC,28.74,cash,
2026-04-10,Natural Grocers SLC,19.80,debit,
2026-04-05,Costco Wholesale #1234,147.17,debit,
2026-05-17,Trader Joe's #713,87.50,credit card,
2026-05-28,Whole Foods Market #10847,33.34,debit,
2026-05-21,Trader Joe's #713,38.88,credit card,
2026-05-02,Whole Foods Market #10847,31.21,credit card,
2026-05-25,Smith's Food & Drug #0823,35.64,cash,
2026-05-09,Smith's Food & Drug #0823,48.34,cash,
2026-05-15,Harmons Grocery,47.57,cash,
2026-05-14,Harmons Grocery,219.77,debit,
2026-06-05,Whole Foods Market #10847,33.63,credit card,
2026-06-12,Whole Foods Market #10847,93.98,credit card,
2026-06-07,Natural Grocers SLC,78.15,debit,
2026-06-22,Whole Foods Market #10847,45.21,credit card,
2026-06-25,Harmons Grocery,52.16,credit card,
2026-06-20,Natural Grocers SLC,33.74,debit,
2026-06-08,Smith's Food & Drug #0823,15.30,debit,
2026-06-14,Whole Foods Market #10847,196.53,debit,
2026-07-16,Smith's Food & Drug #0823,93.79,debit,
2026-07-27,Trader Joe's #713,52.15,credit card,
2026-07-10,Smith's Food & Drug #0823,62.37,debit,
2026-07-01,Natural Grocers SLC,56.43,debit,
2026-07-13,Costco Wholesale #1234,25.79,credit card,
2026-07-28,Whole Foods Market #10847,19.94,credit card,
2026-07-12,Natural Grocers SLC,38.79,cash,
2026-07-13,Natural Grocers SLC,22.67,cash,
2026-07-11,Whole Foods Market #10847,10.52,debit,
2026-07-09,Smith's Food & Drug #0823,177.95,cash,
2026-08-02,Natural Grocers SLC,31.50,credit card,
2026-08-01,Harmons Grocery,74.44,cash,
2026-08-22,Natural Grocers SLC,46.77,cash,
2026-08-24,Natural Grocers SLC,69.28,debit,
2026-08-12,Trader Joe's #713,39.62,debit,
2026-08-22,Costco Wholesale #1234,59.99,cash,
2026-08-11,Natural Grocers SLC,16.40,debit,
2026-08-24,Costco Wholesale #1234,42.01,cash,
2026-08-10,Natural Grocers SLC,14.54,credit card,
2026-08-11,Trader Joe's #713,170.60,cash,
