sheet_id,cell,row,column,value,value_type,formula
sh_materials_main,A1,1,1,Item,string,
sh_materials_main,B1,1,2,Unit_Price_USD,string,
sh_materials_main,C1,1,3,Quantity,string,
sh_materials_main,D1,1,4,Line_Total_USD,string,
sh_materials_main,A2,2,1,Soil Test Kits,string,
sh_materials_main,B2,2,2,12.50,number,
sh_materials_main,C2,2,3,40,number,
sh_materials_main,D2,2,4,500.00,number,=B2*C2
sh_materials_main,A3,3,1,Seed Packets - heritage varieties,string,
sh_materials_main,B3,3,2,3.25,number,
sh_materials_main,C3,3,3,200,number,
sh_materials_main,D3,3,4,650.00,number,=B3*C3
sh_materials_main,A4,4,1,Composting Bins (small),string,
sh_materials_main,B4,4,2,45.00,number,
sh_materials_main,C4,4,3,8,number,
sh_materials_main,D4,4,4,360.00,number,=B4*C4
sh_materials_main,A5,5,1,Field Workbooks,string,
sh_materials_main,B5,5,2,6.75,number,
sh_materials_main,C5,5,3,80,number,
sh_materials_main,D5,5,4,540.00,number,=B5*C5
sh_materials_main,A6,6,1,pH Strips (boxes),string,
sh_materials_main,B6,6,2,18.00,number,
sh_materials_main,C6,6,3,10,number,
sh_materials_main,D6,6,4,180.00,number,=B6*C6
sh_materials_main,A7,7,1,Hand Trowels,string,
sh_materials_main,B7,7,2,9.50,number,
sh_materials_main,C7,7,3,40,number,
sh_materials_main,D7,7,4,380.00,number,=B7*C7
sh_materials_main,A8,8,1,Trifolds - cultural context handouts,string,
sh_materials_main,B8,8,2,0.85,number,
sh_materials_main,C8,8,3,200,number,
sh_materials_main,D8,8,4,170.00,number,=B8*C8
sh_materials_main,A9,9,1,SUBTOTAL,string,
sh_materials_main,B9,9,2,,string,
sh_materials_main,C9,9,3,,string,
sh_materials_main,D9,9,4,2780.00,number,=SUM(D2:D8)
sh_materials_main,A10,10,1,Vendor,string,
sh_materials_main,B10,10,2,Triangle Ag Supply Co.,string,
sh_materials_main,C10,10,3,Quote ref TAS-2026-Q108,string,
sh_materials_main,D10,10,4,,string,
sh_materials_main,A11,11,1,Quote Valid Until,string,
sh_materials_main,B11,11,2,2026-11-15,string,
sh_materials_main,C11,11,3,,string,
sh_materials_main,D11,11,4,,string,
sh_materials_main,A12,12,1,Notes,string,
sh_materials_main,B12,12,2,Subject to SM8 mutation before T46 (kits $12.50->$14.75; seeds $3.25->$3.50),string,
sh_materials_main,C12,12,3,,string,
sh_materials_main,D12,12,4,,string,
