sheet_id,cell,row,column,value,value_type,formula
sh_curriculum_main,A1,1,1,Module_Name,string,
sh_curriculum_main,B1,1,2,Duration_Hours,string,
sh_curriculum_main,C1,1,3,Activities,string,
sh_curriculum_main,D1,1,4,Materials_Cost_USD,string,
sh_curriculum_main,E1,1,5,Notes,string,
sh_curriculum_main,A2,2,1,Soil Health Fundamentals,string,
sh_curriculum_main,B2,2,2,3,number,
sh_curriculum_main,C2,2,3,Lecture; soil texture demo; Q&A,string,
sh_curriculum_main,D2,2,4,125,number,
sh_curriculum_main,E2,2,5,Intro module - F5 adjacent trap,string,
sh_curriculum_main,A3,3,1,Soil Health: Advanced,string,
sh_curriculum_main,B3,3,2,4,number,
sh_curriculum_main,C3,3,3,Field assessment; amendment planning,string,
sh_curriculum_main,D3,3,4,200,number,
sh_curriculum_main,E3,3,5,Track 2 - F5 adjacent trap,string,
sh_curriculum_main,A4,4,1,Soil Health Lab,string,
sh_curriculum_main,B4,4,2,2,number,
sh_curriculum_main,C4,4,3,Microscope work; lab measurements,string,
sh_curriculum_main,D4,4,4,175,number,
sh_curriculum_main,E4,4,5,Lab module - F5 adjacent trap,string,
sh_curriculum_main,A5,5,1,Heritage Crop Varieties,string,
sh_curriculum_main,B5,5,2,3,number,
sh_curriculum_main,C5,5,3,Variety presentation; seed handling,string,
sh_curriculum_main,D5,5,4,150,number,
sh_curriculum_main,E5,5,5,,string,
sh_curriculum_main,A6,6,1,Water Stewardship,string,
sh_curriculum_main,B6,6,2,3,number,
sh_curriculum_main,C6,6,3,Irrigation efficiency; rights overview,string,
sh_curriculum_main,D6,6,4,140,number,
sh_curriculum_main,E6,6,5,,string,
sh_curriculum_main,A7,7,1,Traditional Knowledge & Practice,string,
sh_curriculum_main,B7,7,2,4,number,
sh_curriculum_main,C7,7,3,Elder dialogue; oral history capture,string,
sh_curriculum_main,D7,7,4,80,number,
sh_curriculum_main,E7,7,5,Cultural responsiveness anchor,string,
sh_curriculum_main,A8,8,1,TOTAL DURATION,string,
sh_curriculum_main,B8,8,2,19,number,=SUM(B2:B7)
sh_curriculum_main,C8,8,3,,string,
sh_curriculum_main,D8,8,4,870,number,=SUM(D2:D7)
sh_curriculum_main,E8,8,5,Across 6 modules,string,
