sheet_id,cell,row,column,value,value_type,formula
sh_soil_main,A1,1,1,Sample_ID,string,
sh_soil_main,B1,1,2,Location,string,
sh_soil_main,C1,1,3,Nitrogen_ppm,string,
sh_soil_main,D1,1,4,Phosphorus_ppm,string,
sh_soil_main,E1,1,5,pH,string,
sh_soil_main,F1,1,6,Sampled_Date,string,
sh_soil_main,A2,2,1,S-001,string,
sh_soil_main,B2,2,2,Henderson East,string,
sh_soil_main,C2,2,3,38,number,
sh_soil_main,D2,2,4,22,number,
sh_soil_main,E2,2,5,6.4,number,
sh_soil_main,F2,2,6,2026-09-22,string,
sh_soil_main,A3,3,1,S-002,string,
sh_soil_main,B3,3,2,Mitchell Road,string,
sh_soil_main,C3,3,3,42,number,
sh_soil_main,D3,3,4,28,number,
sh_soil_main,E3,3,5,6.2,number,
sh_soil_main,F3,3,6,2026-09-25,string,
sh_soil_main,G1,1,7,Notes,string,
sh_soil_main,G3,3,7,Pre-SM3 canonical 42 ppm. SM3 mutates to 38 before T20.,string,
sh_soil_main,A4,4,1,S-003,string,
sh_soil_main,B4,4,2,Sawyer,string,
sh_soil_main,C4,4,3,35,number,
sh_soil_main,D4,4,4,19,number,
sh_soil_main,E4,4,5,6.6,number,
sh_soil_main,F4,4,6,2026-09-26,string,
sh_soil_main,A5,5,1,S-004,string,
sh_soil_main,B5,5,2,Chen,string,
sh_soil_main,C5,5,3,40,number,
sh_soil_main,D5,5,4,24,number,
sh_soil_main,E5,5,5,6.3,number,
sh_soil_main,F5,5,6,2026-09-27,string,
sh_soil_main,A6,6,1,S-005,string,
sh_soil_main,B6,6,2,Thompson Hwy 157,string,
sh_soil_main,C6,6,3,33,number,
sh_soil_main,D6,6,4,20,number,
sh_soil_main,E6,6,5,6.5,number,
sh_soil_main,F6,6,6,2026-09-23,string,
sh_soil_main,A7,7,1,S-006,string,
sh_soil_main,B7,7,2,Henderson West,string,
sh_soil_main,C7,7,3,36,number,
sh_soil_main,D7,7,4,21,number,
sh_soil_main,E7,7,5,6.4,number,
sh_soil_main,F7,7,6,2026-09-22,string,
